"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gausman, Kevin","592332","2024","233",24,6,".334",".343",37.9,8.7,39.5,"78.620170658","94.519942763",26,48.9
"Ross, Joe","605452","2024","185",18.9,8.6,".312",".329",32.6,9.8,42.4,"78.123770455","94.362620534",29.6,47.9
"López, Reynaldo","625643","2024","226",24.3,8.8,".259",".308",33.8,6.6,39.7,"77.688772533","94.024401477",28.4,48.1
"Lorenzen, Michael","547179","2024","216",20.4,12,".290",".328",31.9,6.3,37.5,"74.272944306","93.902475625",22.9,45.5
"Brown, Ben","676962","2024","184",29.9,9.2,".250",".326",35.7,11.6,55.4,"84.117825","96.401332973",31.7,46.8
"Ober, Bailey","641927","2024","232",25,5.2,".320",".320",42.1,11.3,37.7,"77.286838228","93.876787848",26.1,51
"Soriano, José","667755","2024","246",22,10.2,".290",".318",31.3,9.2,47.2,"78.494944756","94.992330982",24.5,46.1
"Pérez, Martín","527048","2024","255",18,7.5,".368",".369",34.6,9.6,46.8,"78.028288925","95.466206559",19.6,46.3
"Littell, Zack","641793","2024","261",24.5,3.8,".306",".294",36.4,7.6,33.7,"77.544377802","93.38282105",24.8,53.5
"Skubal, Tarik","669373","2024","256",31.3,4.3,".219",".251",31.7,7.3,29.9,"76.273568902","92.481812012",31.6,51.7
"Manaea, Sean","640455","2024","242",23.6,9.9,".296",".321",40.3,7.5,40.9,"77.777396203","94.378474204",25.6,49.1
"Paxton, James","572020","2024","219",14.2,12.8,".321",".359",34.6,8.2,40.3,"78.292270385","93.954307484",18.2,46.2
"Quantrill, Cal","615698","2024","281",17.8,8.9,".315",".318",34.8,6.9,38.2,"78.244165294","94.3312033",21.3,46.1
"Weathers, Ryan","677960","2024","289",22.1,6.9,".289",".312",31.5,8.1,40.6,"80.018226701","94.756962062",26.7,46.5
"Bassitt, Chris","605135","2024","261",21.5,9.6,".325",".327",36.7,7.9,37.3,"75.574009659","93.993890341",20.2,44.3
"Rea, Colin","607067","2024","259",16.2,8.1,".321",".366",39,9.7,40,"79.724403333","94.333926302",18.2,45.1
"Carrasco, Carlos","471911","2024","198",17.2,9.1,".368",".353",32.2,7,40.6,"80.718520282","94.52103766",22.2,45.8
"Sánchez, Cristopher","650911","2024","260",21.5,7.7,".300",".312",29.9,6.5,40.2,"76.17305413","94.628592787",24.2,49.5
"Gibson, Kyle","502043","2024","268",19.4,9.3,".307",".359",32.8,11.1,42.3,"77.594110645","94.533415243",25.7,41.5
